steel_name,model,edge_retention,toughness,raw_response
1.2442,anthropic/claude-sonnet-5,4.0,4.0,"{""edge_retention"": 4, ""toughness"": 4}"
1.2519,anthropic/claude-sonnet-5,4.0,5.0,"{""edge_retention"": 4, ""toughness"": 5}"
1.2562,anthropic/claude-sonnet-5,5.0,4.0,"{""edge_retention"": 5, ""toughness"": 4}"
1095,anthropic/claude-sonnet-5,4.0,4.0,"{""edge_retention"": 4, ""toughness"": 4}"
14C28N,anthropic/claude-sonnet-5,5.0,5.0,"{""edge_retention"": 5, ""toughness"": 5}"
26C3,anthropic/claude-sonnet-5,5.0,5.0,"{""edge_retention"": 5, ""toughness"": 5}"
440C,anthropic/claude-sonnet-5,6.0,3.0,"{""edge_retention"": 6, ""toughness"": 3}"
52100,anthropic/claude-sonnet-5,6.0,5.0,"{""edge_retention"": 6, ""toughness"": 5}"
8670,anthropic/claude-sonnet-5,3.0,7.0,"{""edge_retention"": 3, ""toughness"": 7}"
A2,anthropic/claude-sonnet-5,5.0,6.0,"{""edge_retention"": 5, ""toughness"": 6}"
A8 mod,anthropic/claude-sonnet-5,4.0,7.0,"{""edge_retention"": 4, ""toughness"": 7}"
AEB-L,anthropic/claude-sonnet-5,4.0,7.0,"{""edge_retention"": 4, ""toughness"": 7}"
Blue Super,anthropic/claude-sonnet-5,7.0,4.0,"{""edge_retention"": 7, ""toughness"": 4}"
CPM 10V,anthropic/claude-sonnet-5,10.0,3.0,"{""edge_retention"": 10, ""toughness"": 3}"
CPM 154,anthropic/claude-sonnet-5,7.0,4.0,"{""edge_retention"": 7, ""toughness"": 4}"
CPM 15V,anthropic/claude-sonnet-5,10.0,3.0,"{""edge_retention"": 10, ""toughness"": 3}"
CPM 1V,anthropic/claude-sonnet-5,4.0,9.0,"{""edge_retention"": 4, ""toughness"": 9}"
CPM 3V,anthropic/claude-sonnet-5,6.0,9.0,"{""edge_retention"": 6, ""toughness"": 9}"
CPM 4V,anthropic/claude-sonnet-5,7.0,8.0,"{""edge_retention"": 7, ""toughness"": 8}"
CPM 9V,anthropic/claude-sonnet-5,10.0,6.0,"{""edge_retention"": 10, ""toughness"": 6}"
CPM CruWear,anthropic/claude-sonnet-5,7.0,6.0,"{""edge_retention"": 7, ""toughness"": 6}"
CPM M4,anthropic/claude-sonnet-5,8.0,6.0,"{""edge_retention"": 8, ""toughness"": 6}"
CPM MagnaCut,anthropic/claude-sonnet-5,7.0,8.0,"{""edge_retention"": 7, ""toughness"": 8}"
CPM Rex 121,anthropic/claude-sonnet-5,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM S110V,anthropic/claude-sonnet-5,10.0,3.0,"{""edge_retention"": 10, ""toughness"": 3}"
CPM S125V,anthropic/claude-sonnet-5,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM S30V,anthropic/claude-sonnet-5,8.0,4.0,"{""edge_retention"": 8, ""toughness"": 4}"
CPM S35VN,anthropic/claude-sonnet-5,8.0,5.0,"{""edge_retention"": 8, ""toughness"": 5}"
CPM S45VN,anthropic/claude-sonnet-5,8.0,5.0,"{""edge_retention"": 8, ""toughness"": 5}"
CPM S60V,anthropic/claude-sonnet-5,8.0,3.0,"{""edge_retention"": 8, ""toughness"": 3}"
CPM S90V,anthropic/claude-sonnet-5,10.0,3.0,"{""edge_retention"": 10, ""toughness"": 3}"
CTS-BD1N,anthropic/claude-sonnet-5,5.0,4.0,"{""edge_retention"": 5, ""toughness"": 4}"
Caldie,anthropic/claude-sonnet-5,4.0,7.0,"{""edge_retention"": 4, ""toughness"": 7}"
CruForgeV,anthropic/claude-sonnet-5,4.0,6.0,"{""edge_retention"": 4, ""toughness"": 6}"
D2,anthropic/claude-sonnet-5,7.0,3.0,"{""edge_retention"": 7, ""toughness"": 3}"
Elmax,anthropic/claude-sonnet-5,8.0,5.0,"{""edge_retention"": 8, ""toughness"": 5}"
K390,anthropic/claude-sonnet-5,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
LC200N,anthropic/claude-sonnet-5,5.0,7.0,"{""edge_retention"": 5, ""toughness"": 7}"
M2,anthropic/claude-sonnet-5,7.0,4.0,"{""edge_retention"": 7, ""toughness"": 4}"
M390,anthropic/claude-sonnet-5,9.0,3.0,"{""edge_retention"": 9, ""toughness"": 3}"
Niolox,anthropic/claude-sonnet-5,5.0,4.0,"{""edge_retention"": 5, ""toughness"": 4}"
Nitro-V,anthropic/claude-sonnet-5,4.0,6.0,"{""edge_retention"": 4, ""toughness"": 6}"
O1,anthropic/claude-sonnet-5,4.0,4.0,"{""edge_retention"": 4, ""toughness"": 4}"
SG2,anthropic/claude-sonnet-5,7.0,5.0,"{""edge_retention"": 7, ""toughness"": 5}"
V-Toku 2,anthropic/claude-sonnet-5,7.0,3.0,"{""edge_retention"": 7, ""toughness"": 3}"
VG-10,anthropic/claude-sonnet-5,6.0,4.0,"{""edge_retention"": 6, ""toughness"": 4}"
Vanadis 8,anthropic/claude-sonnet-5,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
Vanax,anthropic/claude-sonnet-5,6.0,7.0,"{""edge_retention"": 6, ""toughness"": 7}"
Z-Max,anthropic/claude-sonnet-5,10.0,1.0,"{""edge_retention"": 10, ""toughness"": 1}"
Z-Tuff,anthropic/claude-sonnet-5,3.0,7.0,"{""edge_retention"": 3, ""toughness"": 7}"
ZDP-189,anthropic/claude-sonnet-5,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
