steel_name,model,edge_retention,toughness,raw_response
1.2442,google/gemini-3.6-flash,4.0,5.0,"{""edge_retention"": 4, ""toughness"": 5}"
1.2519,google/gemini-3.6-flash,3.5,4.5,"{""edge_retention"": 3.5, ""toughness"": 4.5}"
1.2562,google/gemini-3.6-flash,4.5,3.0,"{""edge_retention"": 4.5, ""toughness"": 3.0}"
1095,google/gemini-3.6-flash,2.5,5.0,"{""edge_retention"": 2.5, ""toughness"": 5.0}"
14C28N,google/gemini-3.6-flash,3.5,8.5,"{""edge_retention"": 3.5, ""toughness"": 8.5}"
26C3,google/gemini-3.6-flash,3.5,7.0,"{""edge_retention"": 3.5, ""toughness"": 7.0}"
440C,google/gemini-3.6-flash,4.0,3.0,"{""edge_retention"": 4.0, ""toughness"": 3.0}"
52100,google/gemini-3.6-flash,3.0,8.0,"{""edge_retention"": 3, ""toughness"": 8}"
8670,google/gemini-3.6-flash,3.0,9.0,"{""edge_retention"": 3, ""toughness"": 9}"
A2,google/gemini-3.6-flash,4.0,5.5,"{""edge_retention"": 4.0, ""toughness"": 5.5}"
A8 mod,google/gemini-3.6-flash,3.0,8.0,"{""edge_retention"": 3, ""toughness"": 8}"
AEB-L,google/gemini-3.6-flash,3.5,8.5,"{""edge_retention"": 3.5, ""toughness"": 8.5}"
Blue Super,google/gemini-3.6-flash,5.5,3.0,"{""edge_retention"": 5.5, ""toughness"": 3.0}"
CPM 10V,google/gemini-3.6-flash,9.5,3.5,"{""edge_retention"": 9.5, ""toughness"": 3.5}"
CPM 154,google/gemini-3.6-flash,5.0,6.0,"{""edge_retention"": 5.0, ""toughness"": 6.0}"
CPM 15V,google/gemini-3.6-flash,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM 1V,google/gemini-3.6-flash,3.5,9.5,"{""edge_retention"": 3.5, ""toughness"": 9.5}"
CPM 3V,google/gemini-3.6-flash,5.5,9.0,"{""edge_retention"": 5.5, ""toughness"": 9.0}"
CPM 4V,google/gemini-3.6-flash,6.5,7.0,"{""edge_retention"": 6.5, ""toughness"": 7.0}"
CPM 9V,google/gemini-3.6-flash,9.0,5.0,"{""edge_retention"": 9, ""toughness"": 5}"
CPM CruWear,google/gemini-3.6-flash,6.0,6.5,"{""edge_retention"": 6.0, ""toughness"": 6.5}"
CPM M4,google/gemini-3.6-flash,8.0,5.5,"{""edge_retention"": 8.0, ""toughness"": 5.5}"
CPM MagnaCut,google/gemini-3.6-flash,7.0,8.0,"{""edge_retention"": 7, ""toughness"": 8}"
CPM Rex 121,google/gemini-3.6-flash,10.0,1.0,"{""edge_retention"": 10, ""toughness"": 1}"
CPM S110V,google/gemini-3.6-flash,9.5,3.0,"{""edge_retention"": 9.5, ""toughness"": 3.0}"
CPM S125V,google/gemini-3.6-flash,10.0,2.0,"{""edge_retention"": 10, ""toughness"": 2}"
CPM S30V,google/gemini-3.6-flash,6.5,5.0,"{""edge_retention"": 6.5, ""toughness"": 5.0}"
CPM S35VN,google/gemini-3.6-flash,6.0,6.0,"{""edge_retention"": 6.0, ""toughness"": 6.0}"
CPM S45VN,google/gemini-3.6-flash,6.5,5.5,"{""edge_retention"": 6.5, ""toughness"": 5.5}"
CPM S60V,google/gemini-3.6-flash,8.0,2.0,"{""edge_retention"": 8, ""toughness"": 2}"
CPM S90V,google/gemini-3.6-flash,9.0,3.0,"{""edge_retention"": 9.0, ""toughness"": 3.0}"
CTS-BD1N,google/gemini-3.6-flash,4.5,5.5,"{""edge_retention"": 4.5, ""toughness"": 5.5}"
Caldie,google/gemini-3.6-flash,3.5,8.0,"{""edge_retention"": 3.5, ""toughness"": 8.0}"
CruForgeV,google/gemini-3.6-flash,3.0,7.5,"{""edge_retention"": 3.0, ""toughness"": 7.5}"
D2,google/gemini-3.6-flash,5.5,3.5,"{""edge_retention"": 5.5, ""toughness"": 3.5}"
Elmax,google/gemini-3.6-flash,7.5,5.5,"{""edge_retention"": 7.5, ""toughness"": 5.5}"
K390,google/gemini-3.6-flash,9.0,4.0,"{""edge_retention"": 9.0, ""toughness"": 4.0}"
LC200N,google/gemini-3.6-flash,3.5,8.5,"{""edge_retention"": 3.5, ""toughness"": 8.5}"
M2,google/gemini-3.6-flash,6.0,3.5,"{""edge_retention"": 6, ""toughness"": 3.5}"
M390,google/gemini-3.6-flash,7.5,3.5,"{""edge_retention"": 7.5, ""toughness"": 3.5}"
Niolox,google/gemini-3.6-flash,4.5,5.5,"{""edge_retention"": 4.5, ""toughness"": 5.5}"
Nitro-V,google/gemini-3.6-flash,3.5,8.0,"{""edge_retention"": 3.5, ""toughness"": 8.0}"
O1,google/gemini-3.6-flash,3.5,6.0,"{""edge_retention"": 3.5, ""toughness"": 6.0}"
SG2,google/gemini-3.6-flash,6.5,5.5,"{""edge_retention"": 6.5, ""toughness"": 5.5}"
V-Toku 2,google/gemini-3.6-flash,4.5,4.0,"{""edge_retention"": 4.5, ""toughness"": 4.0}"
VG-10,google/gemini-3.6-flash,4.5,4.0,"{""edge_retention"": 4.5, ""toughness"": 4.0}"
Vanadis 8,google/gemini-3.6-flash,9.0,4.0,"{""edge_retention"": 9, ""toughness"": 4}"
Vanax,google/gemini-3.6-flash,5.5,8.0,"{""edge_retention"": 5.5, ""toughness"": 8.0}"
Z-Max,google/gemini-3.6-flash,9.5,2.0,"{""edge_retention"": 9.5, ""toughness"": 2.0}"
Z-Tuff,google/gemini-3.6-flash,1.5,9.5,"{""edge_retention"": 1.5, ""toughness"": 9.5}"
ZDP-189,google/gemini-3.6-flash,9.0,2.0,"{""edge_retention"": 9, ""toughness"": 2}"
